"GenusSpecies","DispersalDistance","DispersalDistance_Unit","DispersalDistance_ObservationType","DispersalDistance_MeasurementType","DispersalDistance_Database","DispersalFrequency","DispersalFrequency_Unit","DispersalFrequency_MeasurementType","DispersalFrequency_Database","MaxDispersalDistanceKm","MaxDispersalDistance_Database","MedianDispersalDistanceKm","NObs_MedianDispersalDistanceKm","DispersalFrequencyY","PotentialDispersalRateKmY"
"Juncus effusus",0.36,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00242,"Tamme et al. 2014",0.00139,2,1,0.00242
"Juncus effusus",2.42,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00242,"Tamme et al. 2014",0.00139,2,1,0.00242
"Lacerta agilis",56.3,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",12,"months","MinAgeAtMaturity","Meiri",0.0563,"Jenkins et al. 2007",0.0563,1,1,0.0563
"Lactuca serriola",0.74,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00681,"Tamme et al. 2014",0.003775,2,1,0.00681
"Lactuca serriola",6.81,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00681,"Tamme et al. 2014",0.003775,2,1,0.00681
"Lagopus lagopus",1,"km","natal dispersal","MedianDispersalDistance","Sutherland (birds)",364.234,"days","AgeAtMaturity","Amniota",7.5,"Jenkins et al. 2007",4,3,1,7.5
"Lagopus lagopus",4,"km","natal dispersal","MaxDispersalDistance","Sutherland (birds)",364.234,"days","AgeAtMaturity","Amniota",7.5,"Jenkins et al. 2007",4,3,1,7.5
"Lagopus lagopus",7500,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",364.234,"days","AgeAtMaturity","Amniota",7.5,"Jenkins et al. 2007",4,3,1,7.5
"Lanius ludovicianus",7.3,"km","natal dispersal","MedianDispersalDistance","Sutherland (birds)",364.234,"days","AgeAtMaturity","Amniota",79.7,"Sutherland (birds)",79.7,3,1,79.7
"Lanius ludovicianus",79.7,"km","natal dispersal","MaxDispersalDistance","Sutherland (birds)",364.234,"days","AgeAtMaturity","Amniota",79.7,"Sutherland (birds)",79.7,3,1,79.7
"Lanius ludovicianus",79700,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",364.234,"days","AgeAtMaturity","Amniota",79.7,"Sutherland (birds)",79.7,3,1,79.7
"Larix decidua",29,"m","seed dispersal","MeanDispersalDistance","Tamme et al. 2014",5,"yrs","AgeAtMaturity","TRY",0.029,"Tamme et al. 2014",0.022,2,5,0.0058
"Larix decidua",15,"m","seed dispersal","MaxDispersalDistance","Vittoz & Engler 2007",5,"yrs","AgeAtMaturity","TRY",0.029,"Tamme et al. 2014",0.022,2,5,0.0058
"Larix laricina",80,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",12,"yrs","AgeAtMaturity","TRY",0.08,"Tamme et al. 2014",0.053,4,12,0.00666666666666667
"Larix laricina",4.54,"m","seed dispersal","MeanDispersalDistance","Tamme et al. 2014",12,"yrs","AgeAtMaturity","TRY",0.08,"Tamme et al. 2014",0.053,4,12,0.00666666666666667
"Larix laricina",46,"m","seed dispersal","MeanDispersalDistance","TRY database",12,"yrs","AgeAtMaturity","TRY",0.08,"Tamme et al. 2014",0.053,4,12,0.00666666666666667
"Larix laricina",60,"m","seed dispersal","MaxDispersalDistance","TRY database",12,"yrs","AgeAtMaturity","TRY",0.08,"Tamme et al. 2014",0.053,4,12,0.00666666666666667
"Larus argentatus",13.26852,"km","natal dispersal","MeanDispersalDistance","Chu & Clairmunt 2023",1457.702,"days","AgeAtMaturity","Amniota",46.39685,"Chu & Clairmunt 2023",29.832685,2,4,11.5992125
"Larus argentatus",46.39685,"km","natal dispersal","MeanDispersalDistance","Chu & Clairmunt 2023",1457.702,"days","AgeAtMaturity","Amniota",46.39685,"Chu & Clairmunt 2023",29.832685,2,4,11.5992125
"Larus californicus",19.63554,"km","natal dispersal","MeanDispersalDistance","Chu & Clairmunt 2023",1095,"days","AgeAtMaturity","AnAge",118.0954,"Chu & Clairmunt 2023",68.86547,2,3,39.3651333333333
"Larus californicus",118.0954,"km","natal dispersal","MeanDispersalDistance","Chu & Clairmunt 2023",1095,"days","AgeAtMaturity","AnAge",118.0954,"Chu & Clairmunt 2023",68.86547,2,3,39.3651333333333
"Larus canus",84400,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",730,"days","AgeAtMaturity","AnAge",84.4,"Jenkins et al. 2007",16.6,5,2,42.2
"Larus canus",16.6,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",730,"days","AgeAtMaturity","AnAge",84.4,"Jenkins et al. 2007",16.6,5,2,42.2
"Larus canus",21.1,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",730,"days","AgeAtMaturity","AnAge",84.4,"Jenkins et al. 2007",16.6,5,2,42.2
"Larus canus",1.6,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",730,"days","AgeAtMaturity","AnAge",84.4,"Jenkins et al. 2007",16.6,5,2,42.2
"Larus canus",4.731,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",730,"days","AgeAtMaturity","AnAge",84.4,"Jenkins et al. 2007",16.6,5,2,42.2
"Larus delawarensis",98,"km","natal dispersal","MedianDispersalDistance","Sutherland (birds)",730,"days","AgeAtMaturity","AnAge",700,"Sutherland (birds)",98,5,2,350
"Larus delawarensis",700,"km","natal dispersal","MaxDispersalDistance","Sutherland (birds)",730,"days","AgeAtMaturity","AnAge",700,"Sutherland (birds)",98,5,2,350
"Larus delawarensis",7e+05,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",730,"days","AgeAtMaturity","AnAge",700,"Sutherland (birds)",98,5,2,350
"Larus delawarensis",44.49502,"km","natal dispersal","MeanDispersalDistance","Chu & Clairmunt 2023",730,"days","AgeAtMaturity","AnAge",700,"Sutherland (birds)",98,5,2,350
"Larus delawarensis",72.42563,"km","natal dispersal","MeanDispersalDistance","Chu & Clairmunt 2023",730,"days","AgeAtMaturity","AnAge",700,"Sutherland (birds)",98,5,2,350
"Larus fuscus",202000,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",1460,"days","AgeAtMaturity","AnAge",202,"Jenkins et al. 2007",28.2,5,4,50.5
"Larus fuscus",38.2,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",1460,"days","AgeAtMaturity","AnAge",202,"Jenkins et al. 2007",28.2,5,4,50.5
"Larus fuscus",28.2,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",1460,"days","AgeAtMaturity","AnAge",202,"Jenkins et al. 2007",28.2,5,4,50.5
"Larus fuscus",12.805,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",1460,"days","AgeAtMaturity","AnAge",202,"Jenkins et al. 2007",28.2,5,4,50.5
"Larus fuscus",2.384,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",1460,"days","AgeAtMaturity","AnAge",202,"Jenkins et al. 2007",28.2,5,4,50.5
"Larus glaucescens",100,"km","natal dispersal","MedianDispersalDistance","Sutherland (birds)",2008.875,"days","AgeAtMaturity","Amniota",400,"Sutherland (birds)",400,3,6,66.6666666666667
"Larus glaucescens",400,"km","natal dispersal","MaxDispersalDistance","Sutherland (birds)",2008.875,"days","AgeAtMaturity","Amniota",400,"Sutherland (birds)",400,3,6,66.6666666666667
"Larus glaucescens",4e+05,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",2008.875,"days","AgeAtMaturity","Amniota",400,"Sutherland (birds)",400,3,6,66.6666666666667
"Larus marinus",63.44164,"km","natal dispersal","MeanDispersalDistance","Chu & Clairmunt 2023",1639.436,"days","AgeAtMaturity","Amniota",192.3472,"Chu & Clairmunt 2023",127.89442,2,5,38.46944
"Larus marinus",192.3472,"km","natal dispersal","MeanDispersalDistance","Chu & Clairmunt 2023",1639.436,"days","AgeAtMaturity","Amniota",192.3472,"Chu & Clairmunt 2023",127.89442,2,5,38.46944
"Lathyrus vernus",1.5,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.0015,"Tamme et al. 2014",0.0015,2,1,0.0015
"Lathyrus vernus",1.5,"m","seed dispersal","MaxDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.0015,"Tamme et al. 2014",0.0015,2,1,0.0015
"Leontodon hispidus",0.13,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00083,"Tamme et al. 2014",0.00048,2,1,0.00083
"Leontodon hispidus",0.83,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00083,"Tamme et al. 2014",0.00048,2,1,0.00083
"Lepidium campestre",0.905506678,"m","seed dispersal","MeanDispersalDistance","Flores-Moreno et al. 2013",1,"yrs","AgeAtMaturity","TRY",0.002,"Flores-Moreno et al. 2013",0.001452753339,2,1,0.002
"Lepidium campestre",2,"m","seed dispersal","MaxDispersalDistance","Flores-Moreno et al. 2013",1,"yrs","AgeAtMaturity","TRY",0.002,"Flores-Moreno et al. 2013",0.001452753339,2,1,0.002
"Lepus americanus",20.1,"km","natal dispersal","MaxDispersalDistance","Sutherland (mammals)",259.435506,"days","AgeAtMaturity","Amniota",20.1,"Sutherland (mammals)",20.1,2,1,20.1
"Lepus americanus",20100,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",259.435506,"days","AgeAtMaturity","Amniota",20.1,"Sutherland (mammals)",20.1,2,1,20.1
"Leucanthemum vulgare",0.08,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00042,"Tamme et al. 2014",0.00025,2,1,0.00042
"Leucanthemum vulgare",0.42,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00042,"Tamme et al. 2014",0.00025,2,1,0.00042
"Linaria cannabina",22000,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",364.234,"days","AgeAtMaturity","Amniota",22,"Jenkins et al. 2007",3.5,5,1,22
"Linaria cannabina",3.5,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",22,"Jenkins et al. 2007",3.5,5,1,22
"Linaria cannabina",4.4,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",22,"Jenkins et al. 2007",3.5,5,1,22
"Linaria cannabina",0.393,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",22,"Jenkins et al. 2007",3.5,5,1,22
"Linaria cannabina",0.694,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",22,"Jenkins et al. 2007",3.5,5,1,22
"Linaria vulgaris",0.2,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.0015,"Flores-Moreno et al. 2013",0.000935,4,1,0.0015
"Linaria vulgaris",1.37,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.0015,"Flores-Moreno et al. 2013",0.000935,4,1,0.0015
"Linaria vulgaris",0.5,"m","seed dispersal","MeanDispersalDistance","Flores-Moreno et al. 2013",1,"yrs","AgeAtMaturity","TRY",0.0015,"Flores-Moreno et al. 2013",0.000935,4,1,0.0015
"Linaria vulgaris",1.5,"m","seed dispersal","MaxDispersalDistance","Flores-Moreno et al. 2013",1,"yrs","AgeAtMaturity","TRY",0.0015,"Flores-Moreno et al. 2013",0.000935,4,1,0.0015
"Linum catharticum",0.63,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00063,"Tamme et al. 2014",0.00041,5,1,0.00063
"Linum catharticum",0.02,"m","seed dispersal","MedianDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.00063,"Tamme et al. 2014",0.00041,5,1,0.00063
"Linum catharticum",0.13,"m","seed dispersal","99thPercentileDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.00063,"Tamme et al. 2014",0.00041,5,1,0.00063
"Linum catharticum",0.41,"m","seed dispersal","MaxDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.00063,"Tamme et al. 2014",0.00041,5,1,0.00063
"Linum catharticum",0.63,"m","seed dispersal","MaxDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.00063,"Tamme et al. 2014",0.00041,5,1,0.00063
"Lissotriton vulgaris",182,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",730,"days","AgeAtMaturity","AnAge",0.182,"Jenkins et al. 2007",0.182,1,2,0.091
"Lophodytes cucullatus",5.6,"km","natal dispersal","MaxDispersalDistance","Sutherland (birds)",726.936,"days","AgeAtMaturity","Amniota",5.6,"Sutherland (birds)",5.6,2,2,2.8
"Lophodytes cucullatus",5600,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",726.936,"days","AgeAtMaturity","Amniota",5.6,"Sutherland (birds)",5.6,2,2,2.8
"Lunaria annua",0.07,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",24,"weeks","AgeAtMaturity","TRY",0.00033,"Tamme et al. 2014",2e-04,2,1,0.00033
"Lunaria annua",0.33,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",24,"weeks","AgeAtMaturity","TRY",0.00033,"Tamme et al. 2014",2e-04,2,1,0.00033
"Luzula campestris",0.02,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",7e-05,"Tamme et al. 2014",4.5e-05,2,1,7e-05
"Luzula campestris",0.07,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",7e-05,"Tamme et al. 2014",4.5e-05,2,1,7e-05
"Lythrum salicaria",0.17,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",6,"weeks","AgeAtMaturity","TRY",0.00101,"Tamme et al. 2014",0.00059,2,1,0.00101
"Lythrum salicaria",1.01,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",6,"weeks","AgeAtMaturity","TRY",0.00101,"Tamme et al. 2014",0.00059,2,1,0.00101
"Marmota flaviventris",1.4,"km","natal dispersal","MaxDispersalDistance","Sutherland (mammals)",730,"days","AgeAtMaturity","AnAge",1.4,"Sutherland (mammals)",1.4,2,2,0.7
"Marmota flaviventris",1400,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",730,"days","AgeAtMaturity","AnAge",1.4,"Sutherland (mammals)",1.4,2,2,0.7
"Matricaria discoidea",0.02,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",6,"weeks","AgeAtMaturity","TRY",0.00013,"Tamme et al. 2014",7.5e-05,2,1,0.00013
"Matricaria discoidea",0.13,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",6,"weeks","AgeAtMaturity","TRY",0.00013,"Tamme et al. 2014",7.5e-05,2,1,0.00013
"Megascops asio",10.7,"km","natal dispersal","MedianDispersalDistance","Sutherland (birds)",365,"days","AgeAtMaturity","AnAge",159,"Jenkins et al. 2007",158.5,3,1,159
"Megascops asio",158.5,"km","natal dispersal","MaxDispersalDistance","Sutherland (birds)",365,"days","AgeAtMaturity","AnAge",159,"Jenkins et al. 2007",158.5,3,1,159
"Megascops asio",159000,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",365,"days","AgeAtMaturity","AnAge",159,"Jenkins et al. 2007",158.5,3,1,159
"Meleagris gallopavo",48,"km","natal dispersal","MaxDispersalDistance","Sutherland (birds)",304,"days","AgeAtMaturity","AnAge",48,"Sutherland (birds)",48,2,1,48
"Meleagris gallopavo",48000,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",304,"days","AgeAtMaturity","AnAge",48,"Sutherland (birds)",48,2,1,48
"Melilotus officinalis",0.05,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00024,"Tamme et al. 2014",0.000145,2,1,0.00024
"Melilotus officinalis",0.24,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00024,"Tamme et al. 2014",0.000145,2,1,0.00024
"Melospiza melodia",0.2,"km","natal dispersal","MedianDispersalDistance","Sutherland (birds)",365,"days","AgeAtMaturity","AnAge",13.2,"Sutherland (birds)",13.2,3,1,13.2
"Melospiza melodia",13.2,"km","natal dispersal","MaxDispersalDistance","Sutherland (birds)",365,"days","AgeAtMaturity","AnAge",13.2,"Sutherland (birds)",13.2,3,1,13.2
"Melospiza melodia",13200,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",365,"days","AgeAtMaturity","AnAge",13.2,"Sutherland (birds)",13.2,3,1,13.2
"Mercurialis annua",2.9,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.014,"Tamme et al. 2014",0.0034,6,1,0.014
"Mercurialis annua",14,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.014,"Tamme et al. 2014",0.0034,6,1,0.014
"Mercurialis annua",3.4,"m","seed dispersal","ModeDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.014,"Tamme et al. 2014",0.0034,6,1,0.014
"Mercurialis annua",2.9,"m","seed dispersal","MaxDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.014,"Tamme et al. 2014",0.0034,6,1,0.014
"Mercurialis annua",3.4,"m","seed dispersal","MeanDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.014,"Tamme et al. 2014",0.0034,6,1,0.014
"Mercurialis annua",14,"m","seed dispersal","MaxDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.014,"Tamme et al. 2014",0.0034,6,1,0.014
"Mercurialis perennis",4,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.004,"Tamme et al. 2014",0.004,3,1,0.004
"Mercurialis perennis",4,"m","seed dispersal","MaxDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.004,"Tamme et al. 2014",0.004,3,1,0.004
"Mercurialis perennis",0.89,"m","seed dispersal","MaxDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.004,"Tamme et al. 2014",0.004,3,1,0.004
"Mergus merganser",0.6688064,"km","natal dispersal","SingleObservation","Chu & Clairmunt 2023",730,"days","AgeAtMaturity","AnAge",0.6688064,"Chu & Clairmunt 2023",0.6688064,2,2,0.3344032
"Mergus merganser",0.6688064,"km","natal dispersal","SingleObservation","Chu & Clairmunt 2023",730,"days","AgeAtMaturity","AnAge",0.6688064,"Chu & Clairmunt 2023",0.6688064,2,2,0.3344032
"Microtus oeconomus",0.75,"km","natal dispersal","MedianDispersalDistance","Sutherland (mammals)",30,"days","AgeAtMaturity","AnAge",1,"Sutherland (mammals)",1,3,1,1
"Microtus oeconomus",1,"km","natal dispersal","MaxDispersalDistance","Sutherland (mammals)",30,"days","AgeAtMaturity","AnAge",1,"Sutherland (mammals)",1,3,1,1
"Microtus oeconomus",1000,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",30,"days","AgeAtMaturity","AnAge",1,"Sutherland (mammals)",1,3,1,1
"Molothrus ater",40,"km","natal dispersal","MaxDispersalDistance","Sutherland (birds)",365,"days","AgeAtMaturity","AnAge",40,"Sutherland (birds)",40,2,1,40
"Molothrus ater",40000,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",365,"days","AgeAtMaturity","AnAge",40,"Sutherland (birds)",40,2,1,40
"Morus bassanus",2715.281,"km","natal dispersal","SingleObservation","Chu & Clairmunt 2023",730,"days","AgeAtMaturity","AnAge",2715.281,"Chu & Clairmunt 2023",2715.281,2,2,1357.6405
"Morus bassanus",2715.281,"km","natal dispersal","SingleObservation","Chu & Clairmunt 2023",730,"days","AgeAtMaturity","AnAge",2715.281,"Chu & Clairmunt 2023",2715.281,2,2,1357.6405
"Motacilla alba",100,"km","natal dispersal","MaxDispersalDistance","Sutherland (birds)",364.234,"days","AgeAtMaturity","Amniota",100,"Sutherland (birds)",12.05,6,1,100
"Motacilla alba",1e+05,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",364.234,"days","AgeAtMaturity","Amniota",100,"Sutherland (birds)",12.05,6,1,100
"Motacilla alba",8,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",100,"Sutherland (birds)",12.05,6,1,100
"Motacilla alba",16.1,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",100,"Sutherland (birds)",12.05,6,1,100
"Motacilla alba",0.892,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",100,"Sutherland (birds)",12.05,6,1,100
"Motacilla alba",5.164,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",100,"Sutherland (birds)",12.05,6,1,100
"Motacilla cinerea",85600,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",365,"days","AgeAtMaturity","AnAge",85.6,"Jenkins et al. 2007",26.6,3,1,85.6
"Motacilla cinerea",26.6,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",85.6,"Jenkins et al. 2007",26.6,3,1,85.6
"Motacilla cinerea",15.802,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",85.6,"Jenkins et al. 2007",26.6,3,1,85.6
"Motacilla flava",35500,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",364.234,"days","AgeAtMaturity","Amniota",35.5,"Jenkins et al. 2007",4.948,5,1,35.5
"Motacilla flava",3,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",35.5,"Jenkins et al. 2007",4.948,5,1,35.5
"Motacilla flava",12.5,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",35.5,"Jenkins et al. 2007",4.948,5,1,35.5
"Motacilla flava",0.715,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",35.5,"Jenkins et al. 2007",4.948,5,1,35.5
"Motacilla flava",4.948,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",35.5,"Jenkins et al. 2007",4.948,5,1,35.5
"Muscicapa striata",48000,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",364.234,"days","AgeAtMaturity","Amniota",48,"Jenkins et al. 2007",5.9,5,1,48
"Muscicapa striata",5.9,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",48,"Jenkins et al. 2007",5.9,5,1,48
"Muscicapa striata",12.8,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",48,"Jenkins et al. 2007",5.9,5,1,48
"Muscicapa striata",0.796,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",48,"Jenkins et al. 2007",5.9,5,1,48
"Muscicapa striata",3.377,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",48,"Jenkins et al. 2007",5.9,5,1,48
"Mycteria americana",136.0793,"km","natal dispersal","MeanDispersalDistance","Chu & Clairmunt 2023",1460,"days","AgeAtMaturity","AnAge",216.3025,"Chu & Clairmunt 2023",176.1909,2,4,54.075625
"Mycteria americana",216.3025,"km","natal dispersal","MeanDispersalDistance","Chu & Clairmunt 2023",1460,"days","AgeAtMaturity","AnAge",216.3025,"Chu & Clairmunt 2023",176.1909,2,4,54.075625
"Myiarchus cinerascens",9.323681,"km","natal dispersal","MeanDispersalDistance","Chu & Clairmunt 2023",363.468,"days","AgeAtMaturity","Amniota",9.323681,"Chu & Clairmunt 2023",9.323681,2,1,9.323681
"Myiarchus cinerascens",9.323681,"km","natal dispersal","MeanDispersalDistance","Chu & Clairmunt 2023",363.468,"days","AgeAtMaturity","Amniota",9.323681,"Chu & Clairmunt 2023",9.323681,2,1,9.323681
"Myosotis arvensis",0.03,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00019,"Tamme et al. 2014",0.00011,2,1,0.00019
"Myosotis arvensis",0.19,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00019,"Tamme et al. 2014",0.00011,2,1,0.00019
"Myosotis scorpioides",0.02,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00012,"Tamme et al. 2014",7e-05,2,1,0.00012
"Myosotis scorpioides",0.12,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00012,"Tamme et al. 2014",7e-05,2,1,0.00012
"Myrrhis odorata",2,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.002,"Tamme et al. 2014",0.001325,2,1,0.002
"Myrrhis odorata",0.65,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.002,"Tamme et al. 2014",0.001325,2,1,0.002
"Nannopterum auritus",14.79528,"km","natal dispersal","MeanDispersalDistance","Chu & Clairmunt 2023",730,"days","AgeAtMaturity","AnAge",109.959,"Chu & Clairmunt 2023",62.37714,2,2,54.9795
"Nannopterum auritus",109.959,"km","natal dispersal","MeanDispersalDistance","Chu & Clairmunt 2023",730,"days","AgeAtMaturity","AnAge",109.959,"Chu & Clairmunt 2023",62.37714,2,2,54.9795
"Narthecium ossifragum",0.12,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00087,"Tamme et al. 2014",0.000495,2,1,0.00087
"Narthecium ossifragum",0.87,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00087,"Tamme et al. 2014",0.000495,2,1,0.00087
"Natrix natrix",114,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",1277.875,"days","AgeAtMaturity","Amniota",0.114,"Jenkins et al. 2007",0.114,1,4,0.0285
"Neotoma cinerea",2.2,"km","natal dispersal","MaxDispersalDistance","Sutherland (mammals)",353,"days","AgeAtMaturity","AnAge",2.2,"Sutherland (mammals)",2.2,2,1,2.2
