"species","v1","v2","scientificName","kingdom","phylum","class","order","family","db","db_code","reported_name_fixed","reported_name","Method"
"Frangula californica",1,1,"Frangula californica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","GBIF","GBIF:3039459","Frangula californica","Frangula californica","Find_Sci_Names"
"Frangula californica",1,1,"Frangula californica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","GBIF","GBIF:3039459","Frangula californica","Frangula californica subsp. californica","Find_Sci_Names"
"Frangula californica",1,1,"Frangula californica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","GBIF","GBIF:3039459","Frangula californica","Frangula californica subsp. crassifolia","Find_Sci_Names"
"Frangula californica",1,1,"Frangula californica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","GBIF","GBIF:3039459","Frangula californica","Frangula californica subsp. cuspidata","Find_Sci_Names"
"Frangula californica",1,1,"Frangula californica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","GBIF","GBIF:3039459","Frangula californica","Frangula californica subsp. occidentalis","Find_Sci_Names"
"Frangula californica",1,1,"Frangula californica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","GBIF","GBIF:3039459","Frangula californica","Frangula californica subsp. tomentella","Find_Sci_Names"
"Frangula californica",1,1,"Frangula californica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","GBIF","GBIF:3039459","Frangula californica","Frangula californica subsp. ursina","Find_Sci_Names"
"Frangula purshiana",1,1,"Frangula purshiana","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","GBIF","GBIF:8286637","Frangula purshiana","Frangula purshiana","Find_Sci_Names"
"Frangula rubra",1,1,"Frangula rubra","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","GBIF","GBIF:3039457","Frangula rubra","Frangula rubra","Find_Sci_Names"
"Frankenia salina",1,1,"Frankenia salina","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Frankeniaceae","GBIF","GBIF:2874688","Frankenia salina","Frankenia salina","Find_Sci_Names"
"Frasera albicaulis",1,1,"Frasera albicaulis","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae","GBIF","GBIF:3169993","Frasera albicaulis","Frasera albicaulis var. modocensis","Find_Sci_Names"
"Frasera albicaulis",1,1,"Frasera albicaulis","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae","GBIF","GBIF:3169993","Frasera albicaulis","Frasera albicaulis var. nitida","Find_Sci_Names"
"Frasera neglecta",1,1,"Frasera neglecta","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae","GBIF","GBIF:3169987","Frasera neglecta","Frasera neglecta","Find_Sci_Names"
"Frasera parryi",1,1,"Frasera parryi","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae","GBIF","GBIF:3170021","Frasera parryi","Frasera parryi","Find_Sci_Names"
"Frasera puberulenta",1,1,"Frasera puberulenta","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae","GBIF","GBIF:3169989","Frasera puberulenta","Frasera puberulenta","Find_Sci_Names"
"Frasera speciosa",1,1,"Frasera speciosa","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae","GBIF","GBIF:7948050","Frasera speciosa","Frasera speciosa","Find_Sci_Names"
"Frasera tubulosa",1,1,"Frasera tubulosa","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae","GBIF","GBIF:3170023","Frasera tubulosa","Frasera tubulosa","Find_Sci_Names"
"Fratercula arctica",1,1,"Fratercula arctica","Animalia","Chordata","Aves","Charadriiformes","Alcidae","GBIF","GBIF:2481353","Fratercula arctica","Fratercula arctica","Find_Sci_Names"
"Fraxinus americana",1,1,"Fraxinus americana","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","GBIF","GBIF:3172327","Fraxinus americana","Fraxinus americana","Find_Sci_Names"
"Fraxinus anomala",1,1,"Fraxinus anomala","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","GBIF","GBIF:3172366","Fraxinus anomala","Fraxinus anomala","Find_Sci_Names"
"Fraxinus dipetala",1,1,"Fraxinus dipetala","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","GBIF","GBIF:3172359","Fraxinus dipetala","Fraxinus dipetala","Find_Sci_Names"
"Fraxinus excelsior",1,1,"Fraxinus excelsior","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","GBIF","GBIF:3172358","Fraxinus excelsior","Fraxinus excelsior","Find_Sci_Names"
"Fraxinus latifolia",1,1,"Fraxinus latifolia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","GBIF","GBIF:3172343","Fraxinus latifolia","Fraxinus latifolia","Find_Sci_Names"
"Fraxinus nigra",1,1,"Fraxinus nigra","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","GBIF","GBIF:3172369","Fraxinus nigra","Fraxinus nigra","Find_Sci_Names"
"Fraxinus ornus",1,1,"Fraxinus ornus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","GBIF","GBIF:3172347","Fraxinus ornus","Fraxinus ornus","Find_Sci_Names"
"Fraxinus pennsylvanica",1,1,"Fraxinus pennsylvanica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","GBIF","GBIF:3172348","Fraxinus pennsylvanica","Fraxinus pennsylvanica","Find_Sci_Names"
"Fraxinus quadrangulata",1,0,"Fraxinus quadrangulata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","GBIF","GBIF:3172370","Fraxinus quadrangulata","Fraxinus quadrangulata","Find_Sci_Names"
"Fraxinus sp.",1,1,"Fraxinus sp.","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Bioshifts_v1",NA,"Fraxinus sp.","Fraxinus sp.",NA
"Fraxinus velutina",1,1,"Fraxinus velutina","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","GBIF","GBIF:3172334","Fraxinus velutina","Fraxinus velutina","Find_Sci_Names"
"Fremontodendron californicum",1,1,"Fremontodendron californicum","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","GBIF","GBIF:7424655","Fremontodendron californicum","Fremontodendron californicum","Find_Sci_Names"
"Freziera sp.",1,0,"Freziera sp.","Plantae","Tracheophyta","Magnoliopsida","Ericales","Pentaphylacaceae","Bioshifts_v1",NA,"Freziera sp.","Freziera sp.",NA
"Fringilla coelebs",1,1,"Fringilla coelebs","Animalia","Chordata","Aves","Passeriformes","Fringillidae","GBIF","GBIF:2494422","Fringilla coelebs","Fringilla coelebs","Find_Sci_Names"
"Fringilla montifringilla",1,0,"Fringilla montifringilla","Animalia","Chordata","Aves","Passeriformes","Fringillidae","GBIF","GBIF:2494441","Fringilla montifringila","Fringilla montifringila","Find_Sci_Names"
"Fringilla montifringilla",1,1,"Fringilla montifringilla","Animalia","Chordata","Aves","Passeriformes","Fringillidae","GBIF","GBIF:2494441","Fringilla montifringilla","Fringilla montifringilla","Find_Sci_Names"
"Fritillaria affinis",1,1,"Fritillaria affinis","Plantae","Tracheophyta","Liliopsida","Liliales","Liliaceae","GBIF","GBIF:5300613","Fritillaria affinis","Fritillaria affinis","Find_Sci_Names"
"Fritillaria agrestis",1,1,"Fritillaria agrestis","Plantae","Tracheophyta","Liliopsida","Liliales","Liliaceae","GBIF","GBIF:5300550","Fritillaria agrestis","Fritillaria agrestis","Find_Sci_Names"
"Fritillaria atropurpurea",1,1,"Fritillaria atropurpurea","Plantae","Tracheophyta","Liliopsida","Liliales","Liliaceae","GBIF","GBIF:5300700","Fritillaria atropurpurea","Fritillaria atropurpurea","Find_Sci_Names"
"Fritillaria biflora",1,1,"Fritillaria biflora","Plantae","Tracheophyta","Liliopsida","Liliales","Liliaceae","GBIF","GBIF:5299322","Fritillaria biflora","Fritillaria biflora","Find_Sci_Names"
"Fritillaria biflora",1,1,"Fritillaria biflora","Plantae","Tracheophyta","Liliopsida","Liliales","Liliaceae","GBIF","GBIF:5299322","Fritillaria biflora","Fritillaria biflora var. biflora","Find_Sci_Names"
"Fritillaria meleagris",1,1,"Fritillaria meleagris","Plantae","Tracheophyta","Liliopsida","Liliales","Liliaceae","GBIF","GBIF:5300535","Fritillaria meleagris","Fritillaria meleagris","Find_Sci_Names"
"Fritillaria micrantha",1,1,"Fritillaria micrantha","Plantae","Tracheophyta","Liliopsida","Liliales","Liliaceae","GBIF","GBIF:5300631","Fritillaria micrantha","Fritillaria micrantha","Find_Sci_Names"
"Fritillaria pinetorum",1,1,"Fritillaria pinetorum","Plantae","Tracheophyta","Liliopsida","Liliales","Liliaceae","GBIF","GBIF:5300793","Fritillaria pinetorum","Fritillaria pinetorum","Find_Sci_Names"
"Fritillaria pluriflora",1,1,"Fritillaria pluriflora","Plantae","Tracheophyta","Liliopsida","Liliales","Liliaceae","GBIF","GBIF:5300691","Fritillaria pluriflora","Fritillaria pluriflora","Find_Sci_Names"
"Fritillaria pudica",1,1,"Fritillaria pudica","Plantae","Tracheophyta","Liliopsida","Liliales","Liliaceae","GBIF","GBIF:5300582","Fritillaria pudica","Fritillaria pudica","Find_Sci_Names"
"Fritillaria purdyi",1,1,"Fritillaria purdyi","Plantae","Tracheophyta","Liliopsida","Liliales","Liliaceae","GBIF","GBIF:5300483","Fritillaria purdyi","Fritillaria purdyi","Find_Sci_Names"
"Fritillaria recurva",1,1,"Fritillaria recurva","Plantae","Tracheophyta","Liliopsida","Liliales","Liliaceae","GBIF","GBIF:5300465","Fritillaria recurva","Fritillaria recurva","Find_Sci_Names"
"Fritillerinnys clathraria",0,1,"Fritillerinnys clathraria","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","GBIF","GBIF:11512165","Fritillerinnys clathraria","Fritillerinnys clathraria","Find_Sci_Names"
"Austrofromia polypora",1,1,"Fromia polypora","Animalia","Echinodermata","Asteroidea","Valvatida","Goniasteridae","GBIF","GBIF:2272625","Fromia polypora","Fromia polypora","Find_Sci_Names"
"Fromia polypora",1,1,"Fromia polypora","Animalia","Echinodermata","Asteroidea","Valvatida","Goniasteridae","GBIF","GBIF:2272625","Fromia polypora","Fromia polypora","Find_Sci_Names"
"Fucus serratus",1,0,"Fucus serratus","Chromista","Ochrophyta","Phaeophyceae","Fucales","Fucaceae","GBIF","GBIF:3196437","Fucus serratus","Fucus serratus","Find_Sci_Names"
"Fucus spiralis",1,0,"Fucus spiralis","Chromista","Ochrophyta","Phaeophyceae","Fucales","Fucaceae","GBIF","GBIF:3196369","Fucus spiralis","Fucus spiralis","Find_Sci_Names"
"Fucus vesiculosus",1,0,"Fucus vesiculosus","Chromista","Ochrophyta","Phaeophyceae","Fucales","Fucaceae","GBIF","GBIF:8222574","Fucus vesiculosus","Fucus vesiculosus","Find_Sci_Names"
"Fulica americana",1,1,"Fulica americana","Animalia","Chordata","Aves","Gruiformes","Rallidae","GBIF","GBIF:2474393","Fulica americana","Fulica americana","Find_Sci_Names"
"Fulica atra",1,1,"Fulica atra","Animalia","Chordata","Aves","Gruiformes","Rallidae","GBIF","GBIF:2474377","Fulica atra","Fulica atra","Find_Sci_Names"
"Fulmarus glacialis",1,1,"Fulmarus glacialis","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","GBIF","GBIF:2481433","Fulmarus glacialis","Fulmarus glacialis","Find_Sci_Names"
"Fumana ericoides",1,1,"Fumana ericoides","Plantae","Tracheophyta","Magnoliopsida","Malvales","Cistaceae","GBIF","GBIF:8232802","Fumana ericoides","Fumana ericoides","Find_Sci_Names"
"Fumana procumbens",1,1,"Fumana procumbens","Plantae","Tracheophyta","Magnoliopsida","Malvales","Cistaceae","GBIF","GBIF:7331288","Fumana procumbens","Fumana procumbens","Find_Sci_Names"
"Fumana thymifolia",1,1,"Fumana thymifolia","Plantae","Tracheophyta","Magnoliopsida","Malvales","Cistaceae","GBIF","GBIF:7365597","Fumana thymifolia","Fumana thymifolia","Find_Sci_Names"
"Fumaria bastardii",1,1,"Fumaria bastardii","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","GBIF","GBIF:9228111","Fumaria bastardii","Fumaria bastardii","Find_Sci_Names"
"Fumaria capreolata",1,1,"Fumaria capreolata","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","GBIF","GBIF:5334218","Fumaria capreolata","Fumaria capreolata","Find_Sci_Names"
"Fumaria muralis",1,1,"Fumaria muralis","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","GBIF","GBIF:7315286","Fumaria muralis","Fumaria muralis","Find_Sci_Names"
"Fumaria occidentalis",1,1,"Fumaria occidentalis","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","GBIF","GBIF:5334214","Fumaria occidentalis","Fumaria occidentalis","Find_Sci_Names"
"Fumaria officinalis",1,1,"Fumaria officinalis","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","GBIF","GBIF:5334217","Fumaria officinalis","Fumaria officinalis","Find_Sci_Names"
"Fumaria purpurea",1,1,"Fumaria purpurea","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","GBIF","GBIF:5531806","Fumaria purpurea","Fumaria purpurea","Find_Sci_Names"
"Fumaria vaillantii",1,0,"Fumaria vaillantii","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","GBIF","GBIF:5334216","Fumaria vaillantii","Fumaria vaillantii","Find_Sci_Names"
"Funaria hygrometrica",1,0,"Funaria hygrometrica","Plantae","Bryophyta","Bryopsida","Funariales","Funariaceae","GBIF","GBIF:5281229","Funaria hygrometrica","Funaria hygrometrica","Find_Sci_Names"
"Funastrum cynanchoides",1,1,"Funastrum cynanchoides","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","GBIF","GBIF:3170225","Funastrum cynanchoides","Funastrum cynanchoides var. hartwegii","Find_Sci_Names"
"Funastrum hirtellum",1,1,"Funastrum hirtellum","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","GBIF","GBIF:3170220","Funastrum hirtellum","Funastrum hirtellum","Find_Sci_Names"
"Funastrum utahense",1,1,"Funastrum utahense","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","GBIF","GBIF:3575003","Funastrum utahense","Funastrum utahense","Find_Sci_Names"
"Fundulus kansae",0,1,"Fundulus kansae","Animalia","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","GBIF","GBIF:5203643","Fundulus kansae","Fundulus kansae","Find_Sci_Names | class from NCBI using taxize"
"Fundulus sciadicus",0,1,"Fundulus sciadicus","Animalia","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","GBIF","GBIF:5203693","Fundulus sciadicus","Fundulus sciadicus","Find_Sci_Names | class from NCBI using taxize"
"Furcula bicuspis",1,1,"Furcula bicuspis","Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","GBIF","GBIF:1822613","Furcula bicuspis","Furcula bicuspis","Find_Sci_Names"
"Furcula bifida",1,1,"Furcula bifida","Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","GBIF","GBIF:1822587","Furcula bifida","Furcula bifida","Find_Sci_Names"
"Furcula furcula",1,1,"Furcula furcula","Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","GBIF","GBIF:1822610","Furcula furcula","Furcula furcula","Find_Sci_Names"
"Fusarium sporotrichioides",1,0,"Fusarium sporotrichioides","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","GBIF","GBIF:5252098","Fusarium sporotrichioides","Fusarium sporotrichioides","Find_Sci_Names"
"Fusitriton oregonensis",1,1,"Fusitriton oregonensis","Animalia","Mollusca","Gastropoda","Littorinimorpha","Cymatiidae","GBIF","GBIF:2300808","Fusitriton oregonensis","Fusitriton oregonensis","Find_Sci_Names"
"Gabrius splendidulus",1,1,"Gabrius splendidulus","Animalia","Arthropoda","Insecta","Coleoptera","Staphylinidae","GBIF","GBIF:4437171","Gabrius splendidulus","Gabrius splendidulus","Find_Sci_Names"
"Gadella imberbis",1,0,"Gadella imberbis","Animalia","Chordata","Actinopteri","Gadiformes","Moridae","GBIF","GBIF:2417083","Gadela imberbis","Gadela imberbis","Find_Sci_Names | class from NCBI using taxize"
"Gadella imberbis",0,1,"Gadella imberbis","Animalia","Chordata","Actinopteri","Gadiformes","Moridae","GBIF","GBIF:2417083","Gadela inberbis","Gadela inberbis","Find_Sci_Names | class from NCBI using taxize"
"Gadiculus argenteus",0,1,"Gadiculus argenteus","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","GBIF","GBIF:4284220","Gadiculus argenteus","Gadiculus argenteus","Find_Sci_Names | class from NCBI using taxize"
"Gadus chalcogrammus",1,0,"Gadus chalcogrammus","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","GBIF","GBIF:2415769","Gadus chalcogrammus","Gadus chalcogrammus","Find_Sci_Names | class from NCBI using taxize"
"Gadus macrocephalus",1,1,"Gadus macrocephalus","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","GBIF","GBIF:2415853","Gadus macrocephalus","Gadus macrocephalus","Find_Sci_Names | class from NCBI using taxize"
"Gadus morhua",1,1,"Gadus morhua","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","GBIF","GBIF:8084280","Gadus morhua","Gadus morhua","Find_Sci_Names | class from NCBI using taxize"
"Gagea fistulosa",1,0,"Gagea bohemica","Plantae","Tracheophyta","Liliopsida","Liliales","Liliaceae","GBIF","GBIF:5299816","Gagea fistulosa","Gagea fistulosa","Find_Sci_Names"
"Gagea lutea",1,1,"Gagea lutea","Plantae","Tracheophyta","Liliopsida","Liliales","Liliaceae","GBIF","GBIF:5300245","Gagea lutea","Gagea lutea","Find_Sci_Names"
"Gagea minima",1,0,"Gagea minima","Plantae","Tracheophyta","Liliopsida","Liliales","Liliaceae","GBIF","GBIF:5300136","Gagea minima","Gagea minima","Find_Sci_Names"
"Gagea villosa",1,0,"Gagea villosa","Plantae","Tracheophyta","Liliopsida","Liliales","Liliaceae","GBIF","GBIF:5300296","Gagea villosa","Gagea villosa","Find_Sci_Names"
"Gaidropsarus sp.",1,1,"Gaidropsarus sp.","Animalia","Chordata","Actinopteri","Gadiformes","Gaidropsaridae","Bioshifts_v1",NA,"Gaidropsarus sp.","Gaidropsarus sp.",NA
"Galanthus nivalis",1,0,"Galanthus nivalis","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","GBIF","GBIF:2855356","Galanthus nivalis","Galanthus nivalis","Find_Sci_Names"
"Galeichthys feliceps",0,1,"Galeichthys feliceps","Animalia","Chordata","Actinopteri","Siluriformes","Ariidae","GBIF","GBIF:2345208","Galeichthys feliceps","Galeichthys feliceps","Find_Sci_Names | class from NCBI using taxize"
"Galeoides decadactylus",1,0,"Galeoides decadactylus","Animalia","Chordata","Actinopteri","Perciformes","Polynemidae","GBIF","GBIF:2393337","Galeoides decadactylus","Galeoides decadactylus","Find_Sci_Names | class from NCBI using taxize"
"Galeolaria caespitosa",1,1,"Galeolaria caespitosa","Animalia","Annelida","Polychaeta","Sabellida","Serpulidae","GBIF","GBIF:5200062","Galeolaria caespitosa","Galeolaria caespitosa","Find_Sci_Names"
"Galeopsis angustifolia",1,0,"Galeopsis angustifolia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","GBIF","GBIF:5341306","Galeopsis angustifolia","Galeopsis angustifolia","Find_Sci_Names"
"Galeopsis pubescens",1,0,"Galeopsis pubescens","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","GBIF","GBIF:5341310","Galeopsis pubescens","Galeopsis pubescens","Find_Sci_Names"
"Galeopsis tetrahit",1,1,"Galeopsis tetrahit","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","GBIF","GBIF:5341300","Galeopsis tetrahit","Galeopsis tetrahit","Find_Sci_Names"
"Galeorhinus galeus",0,1,"Galeorhinus galeus","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","GBIF","GBIF:2418259","Galeorhinus galeus","Galeorhinus galeus","Find_Sci_Names"
"Galerida magnirostris",0,1,"Galerida magnirostris","Animalia","Chordata","Aves","Passeriformes","Alaudidae","GBIF","GBIF:2490668","Galerida magnirostris","Galerida magnirostris","Find_Sci_Names"
"Galeruca tanaceti",1,1,"Galeruca tanaceti","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","GBIF","GBIF:5752087","Galeruca tanaceti","Galeruca tanaceti","Find_Sci_Names"
"Galeus polli",1,0,"Galeus polli","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","GBIF","GBIF:5215618","Galeus polli","Galeus polli","Find_Sci_Names"
"Galinsoga quadriradiata",1,0,"Galinsoga quadriradiata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","GBIF","GBIF:8298495","Galinsoga ciliata","Galinsoga ciliata","Find_Sci_Names"
"Galinsoga parviflora",1,0,"Galinsoga parviflora","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","GBIF","GBIF:3132570","Galinsoga parviflora","Galinsoga parviflora","Find_Sci_Names"
"Galinsoga parviflora",1,1,"Galinsoga parviflora","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","GBIF","GBIF:3132570","Galinsoga parviflora","Galinsoga parviflora var. parviflora","Find_Sci_Names"
"Galinsoga quadriradiata",0,1,"Galinsoga quadriradiata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","GBIF","GBIF:8298495","Galinsoga quadriradiata","Galinsoga quadriradiata","Find_Sci_Names"
"Galium album",1,1,"Galium album","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2913931","Galium album","Galium album","Find_Sci_Names"
"Galium stebbinsii",1,1,"Galium stebbinsii","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2915046","Galium ambiguum","Galium ambiguum subsp. ambiguum","Find_Sci_Names"
"Galium ambiguum",1,1,"Galium stebbinsii","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2915046","Galium ambiguum","Galium ambiguum subsp. ambiguum","Find_Sci_Names"
"Galium ambiguum",1,1,"Galium stebbinsii","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2915046","Galium ambiguum","Galium ambiguum subsp. siskiyouense","Find_Sci_Names"
"Galium andrewsii",1,1,"Galium andrewsii","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2913276","Galium andrewsii","Galium andrewsii","Find_Sci_Names"
"Galium andrewsii",1,1,"Galium andrewsii","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2913276","Galium andrewsii","Galium andrewsii subsp. andrewsii","Find_Sci_Names"
"Galium andrewsii",1,1,"Galium andrewsii","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2913276","Galium andrewsii","Galium andrewsii subsp. intermedium","Find_Sci_Names"
"Galium angustifolium",1,1,"Galium angustifolium","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2914865","Galium angustifolium","Galium angustifolium","Find_Sci_Names"
"Galium angustifolium",1,1,"Galium angustifolium","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2914865","Galium angustifolium","Galium angustifolium subsp. angustifolium","Find_Sci_Names"
"Galium angustifolium",1,1,"Galium angustifolium","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2914865","Galium angustifolium","Galium angustifolium subsp. foliosum","Find_Sci_Names"
"Galium angustifolium",1,1,"Galium angustifolium","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2914865","Galium angustifolium","Galium angustifolium subsp. gabrielense","Find_Sci_Names"
"Galium angustifolium",1,1,"Galium angustifolium","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2914865","Galium angustifolium","Galium angustifolium subsp. gracillimum","Find_Sci_Names"
"Galium anisophyllum",1,0,"Galium anisophyllon","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2915025","Galium anisophyllon","Galium anisophyllon","Find_Sci_Names"
"Galium anisophyllum",1,1,"Galium anisophyllon","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2915025","Galium anisophyllum","Galium anisophyllum","Find_Sci_Names"
"Galium aparine",1,1,"Galium aparine","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2913548","Galium aparine","Galium aparine","Find_Sci_Names"
"Galium aristatum",1,0,"Galium aristatum","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2913280","Galium aristatum","Galium aristatum","Find_Sci_Names"
"Galium baldense",1,0,"Galium baldense","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2914763","Galium baldense","Galium baldense","Find_Sci_Names"
"Galium bifolium",1,1,"Galium bifolium","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2914959","Galium bifolium","Galium bifolium","Find_Sci_Names"
"Galium bolanderi",1,1,"Galium bolanderi","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2914186","Galium bolanderi","Galium bolanderi","Find_Sci_Names"
"Galium boreale",1,1,"Galium boreale","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2914338","Galium boreale","Galium boreale","Find_Sci_Names"
"Galium californicum",1,1,"Galium californicum","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2914281","Galium californicum","Galium californicum subsp. californicum","Find_Sci_Names"
"Galium californicum",1,1,"Galium californicum","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2914281","Galium californicum","Galium californicum subsp. flaccidum","Find_Sci_Names"
"Galium concinnum",1,1,"Galium concinnum","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2913925","Galium concinnum","Galium concinnum","Find_Sci_Names"
"Galium divaricatum",1,1,"Galium divaricatum","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2908428","Galium divaricatum","Galium divaricatum","Find_Sci_Names"
"Galium grayanum",1,1,"Galium grayanum","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2913131","Galium grayanum","Galium grayanum","Find_Sci_Names"
"Galium hallii",1,1,"Galium hallii","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2914507","Galium hallii","Galium hallii","Find_Sci_Names"
"Galium hilendiae",1,1,"Galium hilendiae","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2914904","Galium hilendiae","Galium hilendiae subsp. carneum","Find_Sci_Names"
"Galium hypotrichium",1,1,"Galium hypotrichium","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","GBIF","GBIF:2914061","Galium hypotrichium","Galium hypotrichium subsp. hypotrichium","Find_Sci_Names"
